symbol	COG_BM_RNA_0001_dragen.quant.genes.sf
DDX11L1	0
WASH7P	1185
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
RP11-34P13.7	20
RP11-34P13.8	0
CICP27	0
RP11-34P13.15	8
RP11-34P13.16	2
RP11-34P13.14	0
RP11-34P13.13	18
RNU6-1100P	0
RP11-34P13.9	0
DDX11L17	0
WASH9P	750
MIR6859-2	0
AP006222.1	7
AP006222.3	0
RPL23AP24	0
RP4-669L17.2	0
RP4-669L17.4	10
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0
U6	0
RP11-206L10.17	1
RP5-857K21.2	0
MTND1P23	1
MTND2P28	10
MTCO1P12	5
ENSG00000278791	0
MTCO2P12	0
MTATP8P1	0
MTATP6P1	39
MTCO3P12	0
WBP1LP6	0
OR4F16	18
CICP3	0
RP11-206L10.2	26
RNU6-1199P	0
RP11-206L10.4	0
LINC01409	28
RP11-206L10.18	0
RP11-206L10.8	121
FAM87B	0
LINC01128	4
LINC00115	0
RP11-206L10.19	0
FAM41C	0
TUBB8P11	2
FAM166AP3	0
RP11-54O7.16	0
RP11-54O7.1	0
RP11-54O7.2	0
LINC02593	0
SAMD11	6
NOC2L	3687
KLHL17	432
PLEKHN1	9
PERM1	2
RP11-54O7.17	0
HES4	16
ISG15	659
RP11-54O7.10	0
RP11-54O7.11	0
AGRN	846
RP11-54O7.14	0
RP11-465B22.3	0
RP11-54O7.18	0
RNF223	8
C1orf159	384
RP11-465B22.9	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0
TTLL10-AS1	0
TTLL10	3
TNFRSF18	10
TNFRSF4	26
SDF4	3635
B3GALT6	110
C1QTNF12	27
RP5-902P8.12	0
UBE2J2	1358
LINC01786	0
SCNN1D	264
ACAP3	1732
MIR6726	0
PUSL1	195
INTS11	5245
MIR6727	0
RP5-890O3.9	0
CPTP	202
TAS1R3	136
DVL1	1050
MIR6808	0
MXRA8	25
AURKAIP1	1622
NDUFB4P8	0
CCNL2	10074
MRPL20-AS1	0
MRPL20	1985
RN7SL657P	0
MRPL20-DT	0
ANKRD65	1
RP4-758J18.7	0
TMEM88B	0
LINC01770	5
VWA1	7
ATAD3C	10
ATAD3B	1696
RP5-832C2.8	18
ATAD3A	1696
TMEM240	51
SSU72	3495
