Name	COG_BM_RNA_0002_dragen.quant.genes.sf
ENSG00000223972	0
ENSG00000227232	1010
ENSG00000278267	0
ENSG00000243485	0
ENSG00000284332	0
ENSG00000237613	0
ENSG00000268020	0
ENSG00000240361	0
ENSG00000186092	0
ENSG00000238009	31
ENSG00000239945	0
ENSG00000233750	0
ENSG00000268903	5
ENSG00000269981	1
ENSG00000239906	0
ENSG00000241860	10
ENSG00000222623	0
ENSG00000241599	0
ENSG00000279928	0
ENSG00000279457	650
ENSG00000273874	0
ENSG00000228463	8
ENSG00000286448	0
ENSG00000236679	0
ENSG00000236601	0
ENSG00000237094	5
ENSG00000269732	0
ENSG00000284733	0
ENSG00000233653	0
ENSG00000250575	0
ENSG00000278757	0
ENSG00000230021	0
ENSG00000235146	0
ENSG00000225972	0
ENSG00000225630	12
ENSG00000237973	5
ENSG00000278791	0
ENSG00000229344	0
ENSG00000240409	0
ENSG00000248527	48
ENSG00000198744	1
ENSG00000268663	0
ENSG00000284662	17
ENSG00000229376	0
ENSG00000228327	42
ENSG00000223181	0
ENSG00000229905	0
ENSG00000237491	18
ENSG00000285268	0
ENSG00000230092	90
ENSG00000177757	0
ENSG00000228794	5
ENSG00000225880	0
ENSG00000288531	0
ENSG00000230368	0
ENSG00000234711	0
ENSG00000283040	0
ENSG00000272438	0
ENSG00000230699	0
ENSG00000241180	0
ENSG00000223764	0
ENSG00000187634	11
ENSG00000188976	2629
ENSG00000187961	337
ENSG00000187583	6
ENSG00000187642	0
ENSG00000272512	0
ENSG00000188290	13
ENSG00000187608	603
ENSG00000231702	0
ENSG00000224969	0
ENSG00000188157	586
ENSG00000242590	0
ENSG00000217801	0
ENSG00000273443	0
ENSG00000237330	2
ENSG00000131591	257
ENSG00000285812	0
ENSG00000223823	0
ENSG00000207730	0
ENSG00000207607	0
ENSG00000198976	0
ENSG00000272141	0
ENSG00000205231	0
ENSG00000162571	0
ENSG00000186891	17
ENSG00000186827	28
ENSG00000078808	2814
ENSG00000176022	69
ENSG00000184163	27
ENSG00000260179	0
ENSG00000160087	1086
ENSG00000230415	0
ENSG00000162572	175
ENSG00000131584	1472
ENSG00000278073	0
ENSG00000169972	194
ENSG00000127054	3841
ENSG00000283712	0
ENSG00000240731	0
ENSG00000224051	160
ENSG00000169962	96
ENSG00000107404	754
ENSG00000284372	0
ENSG00000162576	23
ENSG00000175756	1213
ENSG00000223663	0
ENSG00000221978	6872
ENSG00000224870	0
ENSG00000242485	1494
ENSG00000264293	0
ENSG00000272455	0
ENSG00000235098	1
ENSG00000225905	0
ENSG00000205116	0
ENSG00000225285	5
ENSG00000179403	1
ENSG00000215915	10
ENSG00000160072	1197
ENSG00000284740	9
ENSG00000197785	1400
ENSG00000205090	23
ENSG00000160075	2644
ENSG00000215014	2
ENSG00000274481	0
ENSG00000228594	9
ENSG00000286989	0
ENSG00000272106	68
ENSG00000197530	1896
ENSG00000189409	34
ENSG00000248333	5299
ENSG00000272004	0
ENSG00000189339	1931
ENSG00000269737	1
ENSG00000215914	3
ENSG00000008128	5777
ENSG00000268575	108
ENSG00000227775	0
ENSG00000215790	1831
ENSG00000008130	5192
ENSG00000078369	8470
ENSG00000231050	49
ENSG00000169885	14
ENSG00000178821	7
ENSG00000142609	0
ENSG00000233542	0
ENSG00000187730	11
ENSG00000226969	0
ENSG00000067606	1000
ENSG00000271806	2
ENSG00000182873	70
ENSG00000162585	577
ENSG00000234396	0
ENSG00000157933	3133
ENSG00000287356	28
ENSG00000116151	738
ENSG00000272161	0
ENSG00000269896	11
ENSG00000272420	0
ENSG00000157916	1820
ENSG00000157911	160
ENSG00000149527	162
ENSG00000224387	0
ENSG00000229393	0
ENSG00000157881	1450
ENSG00000197921	2
ENSG00000272449	0
ENSG00000238164	45
ENSG00000157873	4076
ENSG00000225931	0
ENSG00000228037	0
ENSG00000157870	195
ENSG00000142606	10
ENSG00000237058	0
ENSG00000215912	30
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ENSG00000169717	0
ENSG00000177133	0
ENSG00000142611	2
ENSG00000283572	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	0
ENSG00000287828	0
ENSG00000286518	0
ENSG00000130762	0
ENSG00000272088	0
ENSG00000162591	2729
ENSG00000207776	0
ENSG00000238260	21
ENSG00000158109	1458
ENSG00000116213	1562
ENSG00000078900	50
ENSG00000227589	0
ENSG00000235131	0
ENSG00000227372	3
ENSG00000276189	0
ENSG00000162592	2
ENSG00000235169	132
ENSG00000130764	1398
ENSG00000266075	0
ENSG00000272153	2
ENSG00000116198	3693
ENSG00000169598	416
ENSG00000198912	954
ENSG00000236423	0
ENSG00000233304	0
ENSG00000226374	0
ENSG00000284668	0
ENSG00000284703	0
ENSG00000229280	0
ENSG00000235054	0
ENSG00000284694	0
ENSG00000227169	0
ENSG00000232596	0
ENSG00000196581	29
ENSG00000287586	0
ENSG00000284739	0
ENSG00000284674	0
ENSG00000231510	0
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	0
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
ENSG00000264101	0
ENSG00000131697	3282
ENSG00000069424	3181
ENSG00000116254	30
ENSG00000285629	1350
ENSG00000116251	8858
ENSG00000226944	0
ENSG00000158286	5
ENSG00000116237	437
ENSG00000225077	0
ENSG00000173673	0
ENSG00000158292	17
ENSG00000097021	323
ENSG00000271746	0
ENSG00000069812	0
ENSG00000187017	177
ENSG00000265392	0
ENSG00000231868	0
ENSG00000215788	129
ENSG00000171680	32
ENSG00000162408	2013
ENSG00000253022	0
ENSG00000229519	0
ENSG00000173662	3
ENSG00000204859	2195
ENSG00000162413	1431
ENSG00000116273	572
ENSG00000041988	326
ENSG00000007923	2149
ENSG00000228750	0
ENSG00000284744	0
ENSG00000237436	0
ENSG00000171735	616
ENSG00000227950	0
ENSG00000237365	0
ENSG00000207056	0
ENSG00000237402	0
ENSG00000237728	0
ENSG00000225126	0
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	0
ENSG00000049245	1591
ENSG00000269925	1
ENSG00000049246	194
ENSG00000236266	1
ENSG00000049247	79
ENSG00000049249	101
ENSG00000270330	0
ENSG00000116288	2933
ENSG00000200344	0
ENSG00000284747	10
ENSG00000284716	0
ENSG00000116285	68
ENSG00000238290	0
ENSG00000232848	0
ENSG00000229305	0
ENSG00000227634	0
ENSG00000200975	0
ENSG00000233645	0
ENSG00000251977	0
ENSG00000162426	3
ENSG00000252254	0
ENSG00000142599	15071
ENSG00000232912	0
ENSG00000221083	0
ENSG00000270282	0
ENSG00000234619	1
ENSG00000224315	12
ENSG00000222511	0
ENSG00000226545	0
ENSG00000228423	1
ENSG00000229716	0
ENSG00000074800	13893
ENSG00000274258	0
ENSG00000230679	0
ENSG00000201725	0
ENSG00000238249	0
ENSG00000232208	0
ENSG00000232663	0
ENSG00000131686	0
ENSG00000265141	0
ENSG00000197241	4
ENSG00000142583	2499
ENSG00000252404	0
ENSG00000180758	37
ENSG00000228526	0
ENSG00000284357	0
ENSG00000234546	0
ENSG00000049239	2842
ENSG00000171621	76
ENSG00000284652	0
ENSG00000284693	0
ENSG00000252956	0
ENSG00000235263	0
ENSG00000171612	246
ENSG00000231181	0
ENSG00000188807	588
ENSG00000171608	11498
ENSG00000179840	0
ENSG00000233268	0
ENSG00000231789	0
ENSG00000171603	4885
ENSG00000271264	0
ENSG00000280113	0
ENSG00000178585	313
ENSG00000223989	0
ENSG00000285701	0
ENSG00000162441	952
ENSG00000228150	0
ENSG00000173614	466
ENSG00000202415	0
ENSG00000283611	0
ENSG00000265521	0
ENSG00000241326	0
ENSG00000162444	502
ENSG00000130939	7225
ENSG00000224340	0
ENSG00000233623	0
ENSG00000201746	0
ENSG00000054523	13327
ENSG00000264881	0
ENSG00000199562	0
ENSG00000264501	0
ENSG00000284735	0
ENSG00000284642	0
ENSG00000142657	25016
ENSG00000271989	0
ENSG00000251503	24
ENSG00000175279	92
ENSG00000241563	0
ENSG00000160049	792
ENSG00000203469	0
ENSG00000142655	400
ENSG00000287727	0
ENSG00000243267	0
ENSG00000130940	1933
ENSG00000272078	50
ENSG00000225158	0
ENSG00000175262	2
ENSG00000215785	0
ENSG00000120948	8323
ENSG00000009724	13
ENSG00000116649	899
ENSG00000171824	5556
ENSG00000226849	30
ENSG00000230337	10
ENSG00000198793	10416
ENSG00000225602	0
ENSG00000253086	0
ENSG00000171819	0
ENSG00000207451	0
ENSG00000238173	0
ENSG00000120942	431
ENSG00000238199	0
ENSG00000284646	0
ENSG00000224338	0
ENSG00000204624	45
ENSG00000285833	0
ENSG00000235643	0
ENSG00000284708	0
ENSG00000116661	8
ENSG00000132879	349
ENSG00000116663	188
ENSG00000116670	783
ENSG00000162490	4
ENSG00000177674	1115
ENSG00000215910	23
ENSG00000177553	0
ENSG00000177000	2673
ENSG00000011021	1868
ENSG00000276470	0
ENSG00000278852	0
ENSG00000175206	1
ENSG00000275915	0
ENSG00000120937	1
ENSG00000224904	7
ENSG00000285646	119
ENSG00000199347	0
ENSG00000201801	0
ENSG00000116685	1342
ENSG00000083444	1057
ENSG00000287384	0
ENSG00000116688	8406
ENSG00000270914	0
ENSG00000116691	2053
ENSG00000202461	0
ENSG00000276869	0
ENSG00000243539	0
ENSG00000120949	19
ENSG00000201135	0
ENSG00000227875	0
ENSG00000285604	0
ENSG00000283789	0
ENSG00000028137	1054
ENSG00000263676	0
ENSG00000225196	0
ENSG00000252969	0
ENSG00000048707	26459
ENSG00000239149	1
ENSG00000229484	0
ENSG00000162496	675
ENSG00000221340	0
ENSG00000276830	0
ENSG00000272482	0
ENSG00000204518	1
ENSG00000226166	0
ENSG00000188984	4
ENSG00000157330	0
ENSG00000116726	1
ENSG00000116721	0
ENSG00000228338	0
ENSG00000239810	0
ENSG00000231103	0
ENSG00000179172	0
ENSG00000120952	0
ENSG00000243073	0
ENSG00000187545	0
ENSG00000204510	0
ENSG00000207434	0
ENSG00000234064	0
ENSG00000232423	0
ENSG00000274178	0
ENSG00000274764	0
ENSG00000277058	0
ENSG00000229571	0
ENSG00000277862	0
ENSG00000236179	0
ENSG00000275774	0
ENSG00000229978	0
ENSG00000233336	0
ENSG00000280267	0
ENSG00000179412	0
ENSG00000204505	0
ENSG00000279169	0
ENSG00000279804	0
ENSG00000250894	0
ENSG00000270601	0
ENSG00000231219	0
ENSG00000207511	0
ENSG00000182330	0
ENSG00000237700	0
ENSG00000204501	0
ENSG00000228229	0
ENSG00000204481	0
ENSG00000204480	0
ENSG00000204479	0
ENSG00000204478	0
ENSG00000162494	11
ENSG00000259961	0
ENSG00000215909	0
ENSG00000162493	0
ENSG00000222952	0
ENSG00000237445	0
ENSG00000253085	0
ENSG00000116731	28585
ENSG00000189337	169
ENSG00000252151	0
ENSG00000231606	0
ENSG00000234593	0
ENSG00000235829	0
ENSG00000287756	0
ENSG00000175147	0
ENSG00000171729	3
ENSG00000204464	0
ENSG00000215720	0
ENSG00000278480	0
ENSG00000142621	2
ENSG00000233485	1
ENSG00000236045	0
ENSG00000228140	0
ENSG00000142634	4187
ENSG00000162438	9
ENSG00000142615	2
ENSG00000215704	1
ENSG00000132906	615
ENSG00000116138	1720
ENSG00000251866	0
ENSG00000272510	0
ENSG00000116771	18
ENSG00000237301	0
ENSG00000235084	13
ENSG00000252417	0
ENSG00000236500	0
ENSG00000197312	4261
ENSG00000215695	3758
ENSG00000271742	0
ENSG00000116786	4877
ENSG00000237938	0
ENSG00000162461	39
ENSG00000224459	0
ENSG00000162460	4
ENSG00000162458	8
ENSG00000224321	2
ENSG00000233954	432
ENSG00000178715	10
ENSG00000179743	2
ENSG00000065526	36173
ENSG00000270620	0
ENSG00000116809	1863
ENSG00000234607	0
ENSG00000231353	0
ENSG00000275503	0
ENSG00000224966	0
ENSG00000183888	1
ENSG00000233078	0
ENSG00000173641	1
ENSG00000186510	7
ENSG00000232456	0
ENSG00000184908	1
ENSG00000185519	0
ENSG00000142627	7
ENSG00000227959	0
ENSG00000224621	0
ENSG00000234166	0
ENSG00000142632	172
ENSG00000237276	21
ENSG00000288398	1
ENSG00000132881	81
ENSG00000233929	1
ENSG00000037637	2380
ENSG00000055070	1977
ENSG00000226457	0
ENSG00000187144	2
ENSG00000157191	1455
ENSG00000226029	1
ENSG00000080947	449
ENSG00000206652	80
ENSG00000261135	0
ENSG00000285853	0
ENSG00000224174	2
ENSG00000233421	0
ENSG00000277344	0
ENSG00000225710	1
ENSG00000219481	2253
ENSG00000271732	0
ENSG00000215908	2459
ENSG00000283773	0
ENSG00000186301	93
ENSG00000282143	0
ENSG00000207513	92
ENSG00000280114	6
ENSG00000236698	466
ENSG00000268869	3
ENSG00000279151	0
ENSG00000282740	0
ENSG00000058453	1534
