symbol	COG_BM_RNA_0002_dragen.quant.genes.sf
DDX11L1	0
WASH7P	1010
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
RP11-34P13.7	31
RP11-34P13.8	0
CICP27	0
RP11-34P13.15	5
RP11-34P13.16	1
RP11-34P13.14	0
RP11-34P13.13	10
RNU6-1100P	0
RP11-34P13.9	0
DDX11L17	0
WASH9P	650
MIR6859-2	0
AP006222.1	8
AP006222.3	0
RPL23AP24	0
RP4-669L17.2	0
RP4-669L17.4	5
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0
U6	0
RP11-206L10.17	0
RP5-857K21.2	0
MTND1P23	0
MTND2P28	12
MTCO1P12	5
ENSG00000278791	0
MTCO2P12	0
MTATP8P1	0
MTATP6P1	48
MTCO3P12	1
WBP1LP6	0
OR4F16	17
CICP3	0
RP11-206L10.2	42
RNU6-1199P	0
RP11-206L10.4	0
LINC01409	18
RP11-206L10.18	0
RP11-206L10.8	90
FAM87B	0
LINC01128	5
LINC00115	0
RP11-206L10.19	0
FAM41C	0
TUBB8P11	0
FAM166AP3	0
RP11-54O7.16	0
RP11-54O7.1	0
RP11-54O7.2	0
LINC02593	0
SAMD11	11
NOC2L	2629
KLHL17	337
PLEKHN1	6
PERM1	0
RP11-54O7.17	0
HES4	13
ISG15	603
RP11-54O7.10	0
RP11-54O7.11	0
AGRN	586
RP11-54O7.14	0
RP11-465B22.3	0
RP11-54O7.18	0
RNF223	2
C1orf159	257
RP11-465B22.9	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	17
TNFRSF4	28
SDF4	2814
B3GALT6	69
C1QTNF12	27
RP5-902P8.12	0
UBE2J2	1086
LINC01786	0
SCNN1D	175
ACAP3	1472
MIR6726	0
PUSL1	194
INTS11	3841
MIR6727	0
RP5-890O3.9	0
CPTP	160
TAS1R3	96
DVL1	754
MIR6808	0
MXRA8	23
AURKAIP1	1213
NDUFB4P8	0
CCNL2	6872
MRPL20-AS1	0
MRPL20	1494
RN7SL657P	0
MRPL20-DT	0
ANKRD65	1
RP4-758J18.7	0
TMEM88B	0
LINC01770	5
VWA1	1
ATAD3C	10
ATAD3B	1197
RP5-832C2.8	9
ATAD3A	1400
TMEM240	23
SSU72	2644
RP5-832C2.5	2
RP11-345P4.11	0
FNDC10	9
RP11-345P4.12	0
RP11-345P4.9	68
MIB2	1896
MMP23B	34
CDK11B	5299
RP11-345P4.10	0
SLC35E2B	1931
RP11-345P4.6	1
MMP23A	3
CDK11A	5777
RP1-283E3.8	108
RP1-283E3.4	0
SLC35E2A	1831
NADK	5192
GNB1	8470
RP1-140A9.1	49
CALML6	14
TMEM52	7
CFAP74	0
RP11-547D24.1	0
GABRD	11
RP11-547D24.3	0
PRKCZ	1000
RP5-892K4.1	2
PRKCZ-AS1	70
FAAP20	577
RP11-181G12.4	0
SKI	3133
RP11-181G12.8	28
MORN1	738
RP4-713A8.1	0
RP4-740C4.5	11
RP4-740C4.7	0
RER1	1820
PEX10	160
PLCH2	162
RP3-395M20.2	0
RP3-395M20.3	0
PANK4	1450
HES5	2
RP3-395M20.12	0
TNFRSF14-AS1	45
TNFRSF14	4076
RP3-395M20.7	0
RP3-395M20.9	0
PRXL2B	195
MMEL1	10
MMEL1-AS1	0
TTC34	30
ABC14-1188822O7.2	0
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.4	0
RP11-740P5.3	0
RP5-907A6.1	0
ACTRT2	0
PRDM16-DT	0
PRDM16	2
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
RP4-785P20.3	0
RP4-785P20.2	0
ARHGEF16	0
RP11-168F9.2	0
MEGF6	2729
MIR551A	0
RP11-46F15.2	21
TPRG1L	1458
WRAP73	1562
TP73	50
TP73-AS3	0
TP73-AS2	0
TP73-AS1	3
ENSG10010138423.1	0
CCDC27	2
SMIM1	132
LRRC47	1398
RN7SL574P	0
RP1-286D6.5	2
CEP104	3693
DFFB	416
C1orf174	954
LINC01134	0
LINC01346	0
LINC01345	0
LINC02780	0
RP11-718D19.2	0
EEF1DP6	0
LINC01777	0
RP5-1166F10.2	0
RP1-37J18.1	0
LINC01646	0
AJAP1	29
RP1-77N19.1	0
RP4-603B14.2	0
LINC02781	0
LINC02782	0
RP4-703E10.1	0
RP1-58B11.2	0
RP1-58B11.3	0
RP1-58B11.1	0
RP3-491M17.1	0
RP11-154H17.1	0
ENSG00000264341	0
MIR4689	0
NPHP4	3282
KCNAB2	3181
CHD5	30
RP1-120G22.12	1350
RPL22	8858
RNF207-AS1	0
RNF207	5
ICMT	437
LINC00337	0
HES3	0
GPR153	17
ACOT7	323
RP1-202O8.3	0
HES2	0
ESPN	177
MIR4252	0
RP1-202O8.2	0
TNFRSF25	129
PLEKHG5	32
NOL9	2013
RNU6-731P	0
RP11-58A11.2	0
TAS1R1	3
ZBTB48	2195
KLHL21	1431
PHF13	572
THAP3	326
DNAJC11	2149
LINC01672	0
RP11-242F24.2	0
CAMTA1-DT	0
CAMTA1	616
RP11-312B8.2	0
RP11-334N17.1	0
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	0
RP11-338N10.1	0
RP11-338N10.2	0
RP11-338N10.3	0
VAMP3	1591
RP3-467L1.6	1
PER3	194
RP3-467L1.4	1
UTS2	79
TNFRSF9	101
RP5-892F13.2	0
PARK7	2933
Y	0
CTA-215D11.6	10
CTA-215D11.5	0
ERRFI1	68
RP11-431K24.1	0
CTA-215D11.4	0
RP11-431K24.2	0
LINC01714	0
RNU1-7P	0
RP11-431K24.4	0
RNU6-991P	0
SLC45A1	3
RERE	15071
RERE-AS1	0
ENSG10010135148.1	0
RP5-1115A15.2	0
RPL7P11	1
RPL7P7	12
RP4-633I8.3	0
RP4-633I8.4	1
RPL23AP19	0
ENO1	13893
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	0
RP3-477M7.5	0
RP3-477M7.6	0
CA6	0
RN7SL451P	0
SLC2A7	4
SLC2A5	2499
ENSG10010139882.1	0
GPR157	37
MIR34AHG	0
MIR34A	0
LNCTAM34A	0
H6PD	2842
SPSB1	76
CTD-2510L9.2	0
LINC02606	0
RNA5SP40	0
RP13-392I16.1	0
SLC25A33	246
RP13-15M17.1	0
TMEM201	588
PIK3CD	11498
PIK3CD-AS1	0
RP11-558F24.2	0
PIK3CD-AS2	0
CLSTN1	4885
MZT1P1	0
RP11-84A14.7	0
CTNNBIP1	313
RP11-84A14.5	0
RP11-84A14.8	0
LZIC	952
RP11-84A14.4	0
NMNAT1	466
RN7SKP269	0
TMEM274P	0
MIR5697	0
RP11-807G9.2	0
RBP7	502
UBE4B	7225
RP11-496H15.2	0
PGAM1P11	0
RNU6-828P	0
KIF1B	13327
ENSG00000264881	0
RNU6-37P	0
RN7SL731P	0
RP4-736L20.4	0
RP4-736L20.5	0
PGD	25016
RP4-736L20.3	0
CENPS-CORT	24
CENPS	92
CORT	0
DFFA	792
RP5-1113E3.3	0
PEX14	400
RP4-734G22.4	0
RN7SL614P	0
CASZ1	1933
RP4-734G22.3	50
HSPE1P24	0
C1orf127	2
CFL1P6	0
TARDBP	8323
MASP2	13
SRM	899
EXOSC10	5556
RP4-635E18.7	30
EXOSC10-AS1	10
MTOR	10416
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	0
RNU6-291P	0
RPL39P6	0
UBIAD1	431
UBE2V2P3	0
RP4-796F18.3	0
MTCYBP45	0
DISP3	45
RP11-149P14.2	0
LINC01647	0
RP3-330O12.5	0
FBXO2	8
FBXO44	349
FBXO6	188
MAD2L2	783
DRAXIN	4
AGTRAP	1115
C1orf167	23
C1orf167-AS1	0
MTHFR	2673
CLCN6	1868
ENSG10010138681.1	0
ENSG10010135835.1	0
NPPA	1
ENSG10010134403.1	0
NPPB	1
SBF1P2	7
RP5-934G17.7	119
RNU5E-1	0
RNU5E-4P	0
KIAA2013	1342
PLOD1	1057
RP5-1077B9.6	0
MFN2	8406
RP5-1077B9.5	0
MIIP	2053
MIR6729	0
RN7SL649P	0
TNFRSF8	19
RNU6-777P	0
RPL23AP89	0
RP11-426M1.3	0
MIR7846	0
TNFRSF1B	1054
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	26459
SNORA59A	1
LINC02766	0
DHRS3	675
RNU6ATAC18P	0
MIR6730	0
RP11-474O21.5	0
AADACL4	1
RP11-474O21.2	0
AADACL3	4
C1orf158	0
PRAMEF12	1
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	0
PRAMEF36P	0
RP13-221M14.2	0
PRAMEF26	0
HNRNPCL4	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
RP11-219C24.10	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	11
RP4-597A16.2	0
BRWD1P1	0
PDPN	0
RNA5SP41	0
CTA-520D8.2	0
ENSG10010140100.1	0
PRDM2	28585
KAZN	169
RNU6-1265P	0
RP11-344F13.1	0
KAZN-AS1	0
TBCAP2	0
RP5-864I18.1	0
TMEM51-AS1	0
TMEM51	3
C1orf195	0
MFFP1	0
ZBTB2P1	0
FHAD1	2
FHAD1-AS1	1
RP3-467K16.7	0
RP3-467K16.4	0
EFHD2	4187
CTRC	9
CELA2A	2
CELA2B	1
CASP9	615
DNAJC16	1720
SCARNA21B	0
RP4-680D5.8	0
AGMAT	18
RP4-680D5.2	0
CHCHD2P6	13
RNU7-179P	0
CD24P1	0
DDI2	4261
RSC1A1	3758
RP4-680D5.9	0
PLEKHM2	4877
RP11-288I21.1	0
SLC25A34	39
SLC25A34-AS1	0
TMEM82	4
FBLIM1	8
RPL12P14	2
UQCRHL	432
RP11-169K16.8	10
FLJ37453	2
SPEN	36173
RP1-134O19.3	0
ZBTB17	1863
RP11-5P18.1	0
RP11-5P18.3	0
RP11-5P18.11	0
TBC1D3P6	0
SRARP	1
RP11-5P18.5	0
HSPB7	1
CLCNKA	7
RP11-5P18.10	0
CLCNKB	1
FAM131C	0
EPHA2	7
RP11-276H7.2	0
RP11-276H7.3	0
ARHGEF19-AS1	0
ARHGEF19	172
ANO7L1	21
RP4-733M16.8	1
CPLANE2	81
MT1XP1	1
FBXO42	2380
SZRD1	1977
RPL22P3	0
SPATA21	2
NECAP2	1455
LINC01772	1
CROCCP3	449
RNU1-1	80
RP4-798A10.7	0
RP4-798A10.8	0
RP4-798A10.4	2
LINC01783	0
RNU1-6P	0
PDE4DIPP8	1
NBPF1	2253
RP5-1182A14.5	0
CROCCP2	2459
RP5-1182A14.8	0
MST1P2	93
RP1-163M9.8	0
RNU1-3	92
RP5-875O13.7	6
EIF1AXP1	466
ESPNP	3
RP1-163M9.7	0
RP5-1182A14.7	0
CROCC	1534
CROCCP4	5
RNU1-4	11
MST1L	26
RP11-108M9.1	0
PDE4DIPP9	0
MIR3675	0
RP11-108M9.3	0
RNU1-5P	0
RP11-108M9.4	26
RP11-108M9.5	0
RNU1-2	22
RP11-108M9.6	0
MFAP2	5
RP1-37C10.7	0
RP1-37C10.3	8
ATP13A2	3553
RP1-37C10.8	0
SDHB	1571
PADI2	5326
LINC02783	0
RP11-380J14.4	0
PADI1	0
PADI3	0
MIR3972	0
PADI4	38273
PADI6	11
RCC2-AS1	0
RCC2	5534
ARHGEF10L	192
LINC02810	0
ACTL8	0
RP11-658E23.1	0
LINC01654	0
IGSF21	0
RP11-174G17.3	0
IGSF21-AS1	0
RP11-422P22.1	0
KLHDC7A	3
DYNLL1P3	1
RP1-8B22.2	0
PAX7	0
TAS1R2	8
ALDH4A1	434
MIR4695	0
MIR1290	0
IFFO2	274
RP5-1126H10.2	40
UBR4	62243
EMC1-AS1	36
EMC1	1961
MRTO4	526
RP4-657E11.11	0
AKR7L	31
AKR7A3	39
RP4-657E11.10	0
AKR7A2	419
RNU6-1099P	0
SLC66A1	159
CAPZB	8085
RN7SL277P	0
MICOS10	467
RNU4-28P	0
RP5-1056L3.1	0
NBL1	12
MICOS10-NBL1	0
RP5-1056L3.3	58
HTR6	5
TMCO4	1536
RNF186	0
RP11-91K11.2	0
OTUD3	1129
PLA2G2E	0
RN7SL304P	0
PLA2G2A	0
PLA2G5	0
PLA2G2D	2
PLA2G2F	0
RP3-340N1.2	0
PLA2G2C	2
UBXN10	80
LINC01757	0
RP3-340N1.7	0
VWA5B1	0
RP4-745E8.2	0
LINC01141	0
RP4-749H3.2	0
RP4-749H3.4	0
RP4-749H3.3	0
CAMK2N1	0
MUL1	334
RPS4XP4	0
FAM43B	0
CDA	3281
PINK1	3476
MIR6084	0
PINK1-AS	214
DDOST	3807
KIF17	39
RP5-930J4.5	0
SH2D5	8
RP5-930J4.2	0
HP1BP3	15477
EIF4G3	17078
RNU7-200P	0
MIR1256	0
RPS15AP6	1
RP11-487E1.2	0
HSPE1P27	0
RP3-329E20.3	0
ECE1	4678
RP3-329E20.2	0
ECE1-AS1	2
PPP1R11P1	1
PDE4DIPP10	0
RP11-293F5.1	0
NBPF2P	1
HS6ST1P1	111
CROCCP5	0
NBPF3	152
PFN1P10	0
ALPL	660
LINC02596	0
RAP1GAP	2987
USP48	8654
RP11-132G19.3	0
LDLRAD2	192
HSPG2	6013
RP11-26H16.1	0
RP11-26H16.4	0
CELA3B	0
RP1-224A6.11	0
RN7SL386P	0
RNU6-1022P	0
CELA3A	0
RN7SL186P	0
RNU6-776P	0
LINC01635	0
LINC00339	1
CDC42	17201
CDC42-AS1	0
RP1-224A6.10	0
CDC42-IT1	2
MPHOSPH6P1	0
WNT4	0
RP1-163O16.1	0
MIR4418	0
PPIAP34	0
RP11-415K20.2	0
ZBTB40	5014
ZBTB40-IT1	0
EPHA8	8
MIR6127	0
C1QA	78
C1QC	124
C1QB	125
EPHB2	29
MIR4684	0
RP11-69E9.1	0
MIR4253	0
LACTBL1	0
TEX46	3
KDM1A	5237
RP1-184J9.2	0
MIR3115	0
ENSG00000266802	0
LUZP1	3258
RP5-979D14.1	0
RNU6-514P	0
RNU6-135P	0
HTR1D	1
RP5-1057J7.1	0
LINC01355	1
RP5-1057J7.8	0
HNRNPR	11376
ZNF436	350
ZNF436-AS1	0
RP5-1057J7.7	0
TCEA3	71
RP4-654C18.1	0
ASAP3	86
E2F2	3937
RP1-150O5.3	0
ID3	251
RP1-150O5.4	0
MDS2	0
RP11-223J15.2	0
RPL11	33434
ELOA-AS1	0
ELOA	2896
PITHD1	4608
LYPLA2	861
GALE	262
HMGCL	478
FUCA1	734
CNR2	391
BTBD6P1	252
RP11-4M23.3	0
MIR378F	0
H3P1	0
PNRC2	5026
SRSF10	5230
RP11-4M23.7	0
RP11-293P20.2	0
MYOM3	0
MYOM3-AS1	0
IL22RA1	1
IFNLR1	44
LINC02800	0
GRHL3-AS1	0
GRHL3	7
STPG1	142
NIPAL3	836
RCAN3AS	0
RCAN3	364
NCMAP-DT	0
NCMAP	0
RP11-496D1.2	0
SRRM1	17625
RP11-373M8.2	0
CLIC4	1051
RNU6-1208P	0
RUNX3	561
MIR6731	0
RUNX3-AS1	0
RP11-84D1.2	0
MIR4425	0
LINC02793	0
RP4-799D16.1	0
IFITM3P7	0
RP4-706G24.1	0
SYF2	3834
RP3-465N24.7	2
RP3-465N24.8	0
RSRP1	18455
RP3-465N24.6	0
RP3-465N24.5	0
RHD	1457
SDHDP6	28
RP11-335G20.7	0
TMEM50A	1242
RHCE	2703
RP3-469D22.1	5
MACO1	4763
LDLRAP1	487
RP11-70P17.1	0
MAN1C1	140
RP1-187B23.1	0
SELENON	1395
RP1-317E23.6	2
RP1-317E23.3	0
MTFR1L	1147
RP1-317E23.7	0
AUNIP	652
RP1-125I3.2	25
PAQR7	278
STMN1	7854
SNRPFP2	0
RP1-125I3.4	0
MIR3917	0
PAFAH2	324
RNU6-110P	0
ENSG10010139548.1	0
ENSG10010134544.1	0
EXTL1	0
SLC30A2	0
RP11-96L14.9	0
TRIM63	0
PDIK1L	703
FAM110D	1
C1orf232	0
ZNF593OS	0
ZNF593	143
CNKSR1	95
CATSPER4	3
ZPLD2P	0
RP11-231P20.6	0
CEP85	2797
RP11-231P20.5	0
SH3BGRL3	7625
UBXN11	2435
CD52	2042
CRYBG2	104
RP11-569G9.7	0
ZNF683	17
LIN28A	0
DHDDS	744
RP3-476K8.4	55
DHDDS-AS1	1
HMGN2	8459
DPPA2P2	3
RPS6KA1	5749
MIR1976	0
RN7SL679P	0
RNU7-29P	0
RP11-492M19.3	0
ENSG10010138693.1	0
RP4-785J1.1	0
RP5-968P14.2	1
ARID1A	34175
PIGV	683
RN7SL165P	0
RP1-50O24.8	0
ZDHHC18	4708
SFN	93
GPN2	618
RP1-50O24.6	0
GPATCH3	865
NUDC	3055
NR0B2	0
KDF1	3
RPL12P13	2
RPL32P6	0
OSTCP2	0
TRNP1	1
TENT5B	102
SLC9A1	3301
RP11-40H20.5	2
CHCHD3P3	26
NPM1P39	123
SNRPEP7	0
RP11-40H20.4	0
WDTC1	5824
RP11-4K3	0
TMEM222	426
RNU6-48P	0
ACTG1P20	25
SYTL1	3746
MAP3K6	157
FCN3	11
CD164L2	5
RP1-144C9.2	0
GPR3	38
WASF2	14911
RP4-752I6.1	0
RP1-159A19.4	0
AHDC1	4420
FGR	12088
RP1-159A19.3	51
LINC02574	0
IFI6	397
RP11-288L9.4	0
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
RP3-426I6.8	0
FAM76A	438
RP3-426I6.2	1
RPEP3	0
STX12	796
RP3-426I6.5	0
RP3-426I6.6	0
RNU6-1245P	0
RP3-426I6.7	0
PPP1R8	1177
SCARNA1	0
THEMIS2	7542
RPA2	1375
SMPDL3B	59
RP11-460I13.2	1
XKR8	283
EYA3	1640
RP11-460I13.6	0
RN7SL559P	0
SPCS2P4	854
RP5-1053E7.2	0
RP5-1053E7.3	9
RNU6-176P	0
PTAFR	1324
DNAJC8	2203
ATP5IF1	2117
RP5-1092A3.4	0
RP5-1092A3.5	0
SESN2	2046
MED18	332
PHACTR4	4359
RP1-308E4.1	0
RNU6ATAC27P	0
RCC1	1351
SNHG3	11
SNORA73A	12
SNORA73B	21
PRDX3P2	0
RP4-669K10.8	0
TRNAU1AP	665
SNHG12	7
SNORD99	0
SNORA61	0
SNORA44	0
SNORA16A	0
TAF12	648
RAB42	13
LINC01715	3
RNU11	1
GMEB1	1757
ENSG10010139645.1	0
YTHDF2	4540
OPRD1	0
RP1-212P9.3	0
EPB41	63235
RP4-604A21.1	1
Metazoa	1
TMEM200B	7
RP11-242O24.3	0
SRSF4	8074
ENSG10010136122.1	0
MECR	375
RP11-467D18.2	0
PTPRU	20
LINC01756	0
RP11-810H18.1	0
RP4-656G21.1	0
RP11-179G8.2	0
RP11-179G8.1	0
LINC01648	0
RP5-893G23.1	0
RP3-357I16.1	0
RP4-591L5.1	0
RP4-591L5.2	0
MATN1	45
MATN1-AS1	72
RP5-1166H10.4	0
LAPTM5	19331
MIR4420	0
RP5-1125N11.1	0
LINC01778	0
RN7SKP91	0
RP1-65J11.5	0
SDC3	55
RN7SL371P	0
PUM1	15039
RP11-201O14.1	0
RP11-201O14.2	0
SELENOWP1	0
RP11-490K7.1	0
NKAIN1	0
SNRNP40	1989
RP11-490K7.4	0
ZCCHC17	835
RP11-266K22.2	5
FABP3	13
SERINC2	3130
RP11-439L8.2	1
RNU6-40P	0
LDC1P	1
LINC01226	5
RP11-73M7.1	0
TINAGL1	340
HCRTR1	87
