symbol	COG_BM_RNA_0003_dragen.quant.genes.sf
DDX11L1	0
WASH7P	281
MIR6859-1	0
MIR1302-2HG	0
MIR1302-2	0
FAM138A	0
OR4G4P	0
OR4G11P	0
OR4F5	0
RP11-34P13.7	8
RP11-34P13.8	0
CICP27	0
RP11-34P13.15	0
RP11-34P13.16	0
RP11-34P13.14	0
RP11-34P13.13	0
RNU6-1100P	0
RP11-34P13.9	0
DDX11L17	0
WASH9P	229
MIR6859-2	0
AP006222.1	23
AP006222.3	0
RPL23AP24	0
RP4-669L17.2	0
RP4-669L17.4	6
WBP1LP7	0
OR4F29	0
CICP7	0
RP4-669L17.8	0
U6	0
RP11-206L10.17	4
RP5-857K21.2	0
MTND1P23	0
MTND2P28	6
MTCO1P12	1
ENSG00000278791	0
MTCO2P12	0
MTATP8P1	0
MTATP6P1	11
MTCO3P12	0
WBP1LP6	0
OR4F16	18
CICP3	0
RP11-206L10.2	1
RNU6-1199P	0
RP11-206L10.4	0
LINC01409	17
RP11-206L10.18	0
RP11-206L10.8	184
FAM87B	0
LINC01128	0
LINC00115	1
RP11-206L10.19	0
FAM41C	1
TUBB8P11	1
FAM166AP3	0
RP11-54O7.16	0
RP11-54O7.1	0
RP11-54O7.2	0
LINC02593	0
SAMD11	3
NOC2L	2307
KLHL17	198
PLEKHN1	1
PERM1	7
RP11-54O7.17	0
HES4	36
ISG15	562
RP11-54O7.10	0
RP11-54O7.11	0
AGRN	1651
RP11-54O7.14	0
RP11-465B22.3	0
RP11-54O7.18	0
RNF223	0
C1orf159	160
RP11-465B22.9	0
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	0
RP11-465B22.8	0
TTLL10-AS1	0
TTLL10	4
TNFRSF18	10
TNFRSF4	18
SDF4	1439
B3GALT6	9
C1QTNF12	22
RP5-902P8.12	0
UBE2J2	590
LINC01786	0
SCNN1D	143
ACAP3	581
MIR6726	0
PUSL1	51
INTS11	1929
MIR6727	0
RP5-890O3.9	0
CPTP	58
TAS1R3	33
DVL1	856
MIR6808	0
MXRA8	8
AURKAIP1	531
NDUFB4P8	0
CCNL2	5581
MRPL20-AS1	0
MRPL20	1053
RN7SL657P	0
MRPL20-DT	0
ANKRD65	4
RP4-758J18.7	0
TMEM88B	0
LINC01770	0
VWA1	2
ATAD3C	8
ATAD3B	1007
RP5-832C2.8	11
ATAD3A	900
TMEM240	7
SSU72	2589
RP5-832C2.5	0
RP11-345P4.11	0
FNDC10	0
RP11-345P4.12	0
RP11-345P4.9	53
MIB2	1124
MMP23B	37
CDK11B	7014
RP11-345P4.10	0
SLC35E2B	1474
RP11-345P4.6	0
MMP23A	16
CDK11A	8810
RP1-283E3.8	527
RP1-283E3.4	0
SLC35E2A	2351
NADK	713
GNB1	7139
RP1-140A9.1	29
CALML6	31
TMEM52	11
CFAP74	0
RP11-547D24.1	0
GABRD	14
RP11-547D24.3	0
PRKCZ	266
RP5-892K4.1	0
PRKCZ-AS1	101
FAAP20	224
RP11-181G12.4	0
SKI	1188
RP11-181G12.8	52
MORN1	419
RP4-713A8.1	0
RP4-740C4.5	5
RP4-740C4.7	0
RER1	1897
PEX10	53
PLCH2	167
RP3-395M20.2	0
RP3-395M20.3	0
PANK4	1855
HES5	1
RP3-395M20.12	0
TNFRSF14-AS1	3
TNFRSF14	2523
RP3-395M20.7	0
RP3-395M20.9	0
PRXL2B	62
MMEL1	2
MMEL1-AS1	0
TTC34	13
ABC14-1188822O7.2	0
ABC14-1188822O7.1	0
RP11-740P5.2	0
RP11-740P5.4	0
RP11-740P5.3	0
RP5-907A6.1	0
ACTRT2	0
PRDM16-DT	0
PRDM16	10
MIR4251	0
RP1-163G9.2	0
RP11-193J6.1	0
RP11-22L13.1	0
RP4-785P20.3	0
RP4-785P20.2	0
ARHGEF16	0
RP11-168F9.2	0
MEGF6	810
MIR551A	0
RP11-46F15.2	2
TPRG1L	331
WRAP73	355
TP73	3
TP73-AS3	0
TP73-AS2	0
TP73-AS1	1
ENSG10010138423.1	0
CCDC27	1
SMIM1	4
LRRC47	806
RN7SL574P	0
RP1-286D6.5	1
CEP104	1912
DFFB	140
C1orf174	446
LINC01134	0
LINC01346	0
LINC01345	0
LINC02780	0
RP11-718D19.2	0
EEF1DP6	0
LINC01777	0
RP5-1166F10.2	0
RP1-37J18.1	0
LINC01646	0
AJAP1	58
